"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dis
charged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","627081","1","37826","0","410","0","37393","23"
"2","ALWAR","1244076","0","59712","0","307","4","59393","12"
"3","BANSWARA","230198","0","10005","0","104","0","9901","0"
"4","BARAN","160381","0","11997","0","61","0","11936","0"
"5","BARMER","331547","0","15572","0","185","0","15384","3"
"6","BHARATPUR","383176","0","19601","0","260","0","19341","0"
"7","BHILWARA","391129","0","29782","0","156","0","29626","0"
"8","BIKANER","596236","1","40362","0","545","0","39802","15"
"9","BUNDI","175510","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","359834","0","19809","0","139","0","19670","0"
"11","CHURU","317601","0","16720","0","107","0","16613","0"
"12","DAUSA","209885","0","13353","0","62","0","13289","2"
"13","DHOLPUR","224625","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","249118","0","18407","0","131","0","18276","0"
"15","GANGANAGAR","331958","0","19355","0","150","0","19205","0"
"16","HANUMANGARH","376028","0","16054","0","111","0","15942","1"
"17","JAIPUR","2543716","11","188000","0","1971","3","185921","108"
"18","JAISALMER","206040","0","13644","0","66","0","13573","5"
"19","JALORE","375150","0","10067","0","72","0","9995","0"
"20","JHALAWAR","282375","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","372624","0","14811","0","158","0","14653","0"
"22","JODHPUR","1158969","0","112419","0","1103","0","111312","4"
"23","KARAULI","170594","0","7156","0","70","0","7086","0"
