"Total No. of Sample Taken Today","22203"
"Total No. of Positive Cases Detected Today","21"
"Total Positive Cases under Home Isolation (25-11-2021)","119"
"Total No. of Samples Sent till date","13513784"
"Total No. of Samples found Positive till date","771643 
(M: 471494 
F: 300132 
Transgender: 17)"
"Total Positive COVID-19 Patients Recovered / Discharged till date","761431"
"Total Active COVID-19 Patients","135"
"No. of Deaths","10054"
"Total No. of People Vaccinated today","137414 
(1st Dose: 41117, 
2nd Dose: 96297"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose","18462333 (90%)"
"Cumulative Coverage of COVID-19 Vaccination – 2nd Dose","9798006(48%)"
"Cumulative Coverage of Total COVID-19 Vaccination","28260339"
"COVID-19 Today (26-11-2021) Positivity Rate","0.10%"
"COVID-19 Cumulative Positivity Rate","5.72%"
"Recovery Rate","98.68%"
"Fatality Rate","1.30%"
"Tests Per Million Population","533088"
