"D
       
   
   
         
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 10-01-2022","","","","","","","","",""
"","","","","","","","","",""
"","T
he first case of Corona Virus infection, which has caused a pandemic resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective  intervention  in  the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","","","","",""
"","","","","","","","","",""
"","","1","Today’s Discharges","","1148","","","",""
"","","2","Total Discharges","","2965105","","","",""
"","","3","New Cases Reported (09.01.2022, 00:00 to 23:59)","","11698","","","",""
"","","4","Total Active Cases","","60148","","","",""
"","","5","New Covid Deaths","","4","","","",""
"","","6","Total Covid Deaths","","38374","","","",""
"","","7","Total Positive Cases","","3063656","","","",""
"","","8","Positivity rate for the day (09.01.2022, 00:00 to 23:59)","","7.77%","","","",""
"","","9","Case fatality rate (CFR) for the day (09.01.2022, 00:00 to 23:59)","","0.03%","","","",""
"","","","","","","","","",""
"","","Particulars","","Today’s","","Cumulative","","",""
"","","A 
Total Passengers screened at Air ports","","1298**","","633343","","",""
"","","High risk country* passengers arrived from 01-11- 2021 
B 
to till date","","644","","24836","","",""
"*As specified from GOI  
** Date: 09-01-2022 
 
Date: 10-01-2022  
 Page 1 of 9","","","","","","","","",""
