"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","35180","0","34842","5","0","333","0"
"2","Ballari","4","97771","1","95975","110","0","1686","0"
"3","Belagavi","0","79922","1","78908","74","0","940","0"
"4","Bengaluru Rural","3","62021","3","61099","33","0","889","0"
"5","Bengaluru Urban","159","1252990","104","1230274","6419","1","16296","1"
"6","Bidar","0","24342","0","23936","1","0","401","4"
"7","Chamarajanagara","4","33008","0","32482","13","0","502","11"
"8","Chikkaballapura","0","43959","2","43513","14","0","431","1"
"9","Chikkamagaluru","4","51144","4","50699","49","0","396","0"
"10","Chitradurga","5","36684","3","36437","41","0","206","0"
"11","Dakshina 
Kannada","10","115582","24","113752","143","0","1680","7"
"12","Davanagere","0","50992","2","50370","14","0","608","0"
"13","Dharwada","7","60997","0","59648","30","0","1317","2"
"14","Gadag","0","26066","0","25747","0","0","319","0"
"15","Hassana","24","111858","30","110473","127","0","1256","2"
"16","Haveri","0","21947","2","21303","1","0","643","0"
"17","Kalaburagi","3","61934","2","61101","13","0","820","0"
"18","Kodagu","8","37142","11","36713","99","0","329","1"
"19","Kolara","11","46944","0","46242","67","0","635","0"
"20","Koppala","0","35198","0","34661","14","1","523","0"
"21","Mandya","6","73799","13","73080","65","0","654","0"
"22","Mysuru","15","179312","36","176704","191","2","2417","0"
"23","Raichuru","2","39977","0","39642","3","0","332","0"
"24","Ramanagara","2","24208","2","23875","13","0","320","0"
"25","Shivamogga","1","69460","0","68269","101","0","1090","0"
"26","Tumakuru","6","120897","34","119558","207","1","1132","0"
"27","Udupi","5","76772","4","76232","52","1","488","0"
"28","Uttara Kannada","4","56277","9","55425","81","0","771","0"
"29","Vijayapura","0","36271","3","35768","8","0","495","0"
"30","Yadagiri","0","27545","0","27338","1","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","283","2990235","290","2944099","7989","6","38118","29"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 08-11-2021 
 Page 5 of 8","","","","","","","","",""
