"S. No","Subject","Number"
"1","Total Number of people vaccinated on 9th Feb","6,20,327"
"2","First Dose on 9th Feb","42,510"
"3","Second Dose on 9th Feb","5,23,975"
"4","Precaution Dose on 9th Feb","53,842"
"5","Cumulative Vaccination till 9th Feb","12,35,19,736"
"6","Cumulative Vaccination First Dose","6,92,65,497"
"7","Cumulative Vaccination Second Dose","5,30,43,950"
"8","Cumulative Precaution Dose","12,10,289"
"9","Number of CVC (Common Vaccination Centres)","5,438"
"10","Cumulative AEFI cases reported","6,839"
"11","Vaccine wastage","-7%"
