"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","17795","","3640","","21435",""
"2","Total Active Cases","216 
(1.21%)","","19 
(0.52%)","","235 
(1.1%)",""
"3","Total Cured/ Discharged","17424 
(97.92%)","","3563                                  
(97.9%)","","(97.91%)",""
"4","Total Died","155 
(0.87%)","","58 
(1.6%)","","213 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","32","","00","","32",""
"6","Total Positive cases in Home Isolation","159","","19","","178",""
"7","COVID Care Centre","14","","0","","14",""
"8","Facility Isolation","11","","0","","11",""
"9","No. of Samples Tested (Today)","712","","657","","1369",""
"10","No. of Samples Positive (Today)","34","","04","","38",""
"11","No. of Samples Negative (Today)","677","","653","","1330",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","85 
           00 
       00 
            25 
          110"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(24/11/2021)","","Test Done Today 
(25/11/2021)","","Cumulative"
"","","a)  RTPCR","225398","","1216","","226614"
"","","b)  TRUENAT","11036","","04","","11040"
"","","c)  RAT","330760","","149","","330909"
"","","d)  CBNAAT","147","","0","","147"
"","","TOTAL","567341","","1369","","568710"
