"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18014","","3655","","21669",""
"2","Total Active Cases","286 
(1.6%)","","25 
(0.7%)","","311 
(1.4%)",""
"3","Total Cured/ Discharged","17571 
(97.5%)","","3572                                  
(97.7%)","","(97.6%)",""
"4","Total Died","157 
(0.87%)","","58 
(1.6%)","","215 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","21","","02","","23",""
"6","Total Positive cases in Home Isolation","234","","23","","257",""
"7","COVID Care Centre","15","","0","","15",""
"8","Facility Isolation","16","","0","","16",""
"9","No. of Samples Tested (Today)","836","","445","","1281",""
"10","No. of Samples Positive (Today)","26","","01","","27",""
"11","No. of Samples Negative (Today)","809","","444","","1253",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","199 
          154 
       00 
            16 
          369"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(02/12/2021)","","Test Done Today 
(03/12/2021)","","Cumulative"
"","","a)  RTPCR","233524","","1036","","234560"
"","","b)  TRUENAT","11074","","04","","11078"
"","","c)  RAT","333070","","241","","333311"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","577840","","1281","","579121"
