"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Disc
harged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","657581","11","37894","0","410","4","37450","34"
"2","ALWAR","1321501","7","59761","0","307","0","59435","19"
"3","BANSWARA","254625","0","10005","0","104","0","9901","0"
"4","BARAN","177764","0","12000","0","61","0","11939","0"
"5","BARMER","343203","0","15586","0","186","0","15399","1"
"6","BHARATPUR","396025","0","19606","0","260","0","19344","2"
"7","BHILWARA","418122","0","29805","0","156","0","29632","17"
"8","BIKANER","618262","7","40443","0","546","0","39855","42"
"9","BUNDI","187880","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","377956","0","19809","0","139","0","19670","0"
"11","CHURU","341406","0","16724","0","108","0","16615","1"
"12","DAUSA","224581","0","13356","0","62","0","13294","0"
"13","DHOLPUR","234057","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","262400","0","18412","0","131","0","18281","0"
"15","GANGANAGAR","352475","1","19371","0","151","0","19209","11"
"16","HANUMANGARH","410637","0","16081","0","111","0","15965","5"
"17","JAIPUR","2650584","185","188708","0","1971","9","186216","521"
"18","JAISALMER","213096","0","13651","0","66","0","13584","1"
"19","JALORE","391616","0","10068","0","72","0","9996","0"
"20","JHALAWAR","310332","0","13614","0","187","0","13426","1"
"21","JHUNJHUNU","406501","0","14829","0","160","0","14663","6"
"22","JODHPUR","1194578","24","112487","0","1103","0","111340","44"
"23","KARAULI","187290","0","7156","0","70","0","7086","0"
