"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","126","8","0","14","71"
"2","ALWAR","111","1","0","3","94"
"3","BANSWARA","1","5","0","0","15"
"4","BARAN","69","0","0","2","4"
"5","BARMER","8","0","0","1","0"
"6","BHARATPUR","50","1","0","2","10"
"7","BHILWARA","31","0","0","0","29"
"8","BIKANER","121","0","0","5","28"
"9","BUNDI","30","3","0","0","13"
"10","CHITTORGARH","4","0","0","7","33"
"11","CHURU","13","0","0","0","0"
"12","DAUSA","6","2","0","3","70"
"13","DHOLPUR","8","0","0","6","8"
"14","DUNGARPUR","27","0","0","7","18"
"15","GANGANAGAR","35","0","0","0","5"
"16","HANUMANGARH","5","0","1","0","7"
"17","JAIPUR","632","24","0","35","258"
"18","JAISALMER","3","0","0","3","3"
"19","JALORE","0","11","0","2","11"
"20","JHALAWAR","14","0","0","1","6"
"21","JHUNJHUNU","13","0","0","0","3"
"22","JODHPUR","95","5","0","10","122"
"23","KARAULI","23","2","0","2","5"
"24","KOTA","242","1","0","0","55"
"25","NAGAUR","36","0","0","3","16"
"26","PALI","65","0","0","0","20"
