,Unnamed: 0,44,Unnamed: 1,मजुफ्फरनगर,Unnamed: 2,0,Unnamed: 3,1,Unnamed: 4,38314,Unnamed: 5,0.1,Unnamed: 6,277,Unnamed: 7,8,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,अयोध्या,,1.0,,0.0,,18666.0,,0.0,,293.0,,7.0,,,,,
1,,46,,बबजनौर,,0.0,,0.0,,18278.0,,0.0,,139.0,,7.0,,,,,
2,,47,,बलुदंशहर,,0.0,,1.0,,26316.0,,0.0,,252.0,,7.0,,,,,
3,,48,,चित्रकूट,,0.0,,1.0,,7750.0,,0.0,,79.0,,7.0,,,,,
4,,49,,अमठेी,,0.0,,1.0,,11476.0,,0.0,,145.0,,6.0,,,,,
5,,50,,औरैय्या,,0.0,,0.0,,10778.0,,0.0,,211.0,,6.0,,,,,
6,,51,,इटावा,,1.0,,4.0,,15770.0,,0.0,,296.0,,6.0,,,,,
7,,52,,कौशाम्बी,,0.0,,3.0,,4873.0,,0.0,,72.0,,6.0,,,,,
8,,53,,महाराजगजं,,0.0,,0.0,,14663.0,,0.0,,146.0,,5.0,,,,,
9,,54,,सीतापरु,,0.0,,0.0,,15748.0,,0.0,,187.0,,5.0,,,,,
10,,55,,भदोही,,0.0,,2.0,,8466.0,,0.0,,165.0,,4.0,,,,,
11,,56,,बलरामपरु,,0.0,,0.0,,8112.0,,0.0,,139.0,,3.0,,,,,
12,,57,,बहराइि,,0.0,,4.0,,13406.0,,0.0,,178.0,,3.0,,,,,
13,,58,,कानपरु देहात,,0.0,,0.0,,7124.0,,0.0,,110.0,,3.0,,,,,
14,,59,,मऊ,,0.0,,0.0,,8932.0,,0.0,,86.0,,3.0,,,,,
15,,60,,रामपरु,,0.0,,0.0,,14603.0,,0.0,,153.0,,3.0,,,,,
16,,61,,सतं कबीर नगर,,0.0,,0.0,,8843.0,,0.0,,101.0,,3.0,,,,,
17,,62,,शामली,,1.0,,1.0,,16690.0,,0.0,,48.0,,3.0,,,,,
18,,63,,लसद्धाथ ुनगर,,0.0,,3.0,,11521.0,,0.0,,102.0,,3.0,,,,,
19,,64,,हापड़ु,,0.0,,0.0,,15186.0,,0.0,,224.0,,2.0,,,,,
20,,65,,महोबा,,0.0,,1.0,,4468.0,,0.0,,88.0,,2.0,,,,,
21,,66,,मरुादाबाद,,0.0,,0.0,,46067.0,,0.0,,367.0,,2.0,,,,,
22,,67,,पीलीभीत,,0.0,,0.0,,12723.0,,0.0,,205.0,,2.0,,,,,
23,,68,,सभंल,,0.0,,0.0,,11023.0,,0.0,,109.0,,2.0,,,,,
24,,69,,बदाय,,0.0,,0.0,,17910.0,,0.0,,101.0,,1.0,,,,,
25,,70,,िदंौली,,0.0,,1.0,,17527.0,,0.0,,378.0,,1.0,,,,,
26,,71,,श्रावस्ती,,0.0,,0.0,,5233.0,,0.0,,41.0,,1.0,,,,,
27,,72,,बललया,,0.0,,7.0,,22514.0,,0.0,,245.0,,0.0,,,,,
28,,73,,हाथरस,,0.0,,0.0,,3716.0,,0.0,,43.0,,0.0,,,,,
29,,74,,कासगजं,,0.0,,0.0,,4882.0,,0.0,,55.0,,0.0,,,,,
30,,75,,लमर्ाुपरु,,0.0,,0.0,,11950.0,,0.0,,126.0,,0.0,,,,,
31,,Total,,,,,,,133.0,,194.0,,2043712.0,,1.0,,23476.0,,2070.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23476 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
