"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","152","109929","147","107636","1","2280","13"
"2","SAS Nagar","301","95992","265","94798","0","1148","46"
"3","Jalandhar","104","78375","90","76790","0","1578","7"
"4","Patiala","205","62236","200","60772","0","1457","7"
"5","Amritsar","63","59458","62","57770","0","1682","6"
"6","Bathinda","43","50913","37","49815","0","1088","10"
"7","Hoshiarpur","51","40891","60","39792","0","1096","3"
"8","Gurdaspur","18","26957","18","26091","1","865","1"
"9","Pathankot","38","24571","40","24073","0","495","3"
"10","Fazilka","18","23416","31","22870","0","545","1"
"11","Muktsar","6","22560","11","22021","0","539","0"
"12","Kapurthala","31","22066","31","21483","1","583","0"
"13","Ropar","25","17963","25","17508","0","455","0"
"14","Ferozepur","15","17914","14","17374","0","537","3"
"15","Mansa","5","17233","3","16839","1","393","1"
"16","Faridkot","23","16806","27","16468","0","338","0"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","20","13422","24","13012","0","409","1"
"19","FG Sahib","8","11842","8","11488","0","354","0"
"20","Moga","5","10993","5","10736","1","255","2"
"21","Tarn Taran","4","10902","3","10508","0","394","0"
"22","Barnala","7","7504","12","7155","0","349","0"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","1142","760218","1113","742363","5","17751","104"
