"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","525698",19514563
"2","Total No. of patients tested Positive","1142","760218"
"3","No. of patients discharged","1113","742363"
"4","Total Deaths reported","5","17751"
"5","Sample collected on the day","","10619"
"6","Test conducted on the day","","7428"
"7","Positive cases on the day","","14"
"8","Number of active Cases","","104"
"9","No. of Patients on oxygen support","","2"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218607"
"14","Frontline Workers vaccinated with 1st dose on the day","","3"
"15","Total Frontline Workers vaccinated with 1st dose","","1117206"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","26"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209971"
"18","Frontline Workers vaccinated with 2nd dose on the day","","54"
"19","Total Frontline Workers vaccinated with 2nd dose","","1011882"
"20","Above 45 Vaccinated with 1st dose on the day","","865"
"21","Total Above 45 Vaccinated with 1st dose","","8310095"
"22","Above 45 Vaccinated with 2nd dose on the day","","9709"
"23","Total Above 45 Vaccinated with 2nd dose","","7214182"
"24","18-44 years age group Vaccinated with 1st dose on the day","","3381"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12542179"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","18261"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9766436"
"28","15-17 years age group Vaccinated with 1st dose on the day","","1227"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1067370"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","3191"
"31","Total 15-17 years age group Vaccinated with 2nddose","","689780"
"32","12-14 years age group Vaccinated with 1st dose on the day","","2798"
"33","Total 12-14 years age group Vaccinated with 1st dose","","554562"
"34","12-14 years age group Vaccinated with 2nddose on the day","","5196"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","240039"
"36","Precautionary dose given on the day","","3107"
"37","Total Precautionary dose given","","618692"
"38","Total Vaccination 1st dose on the day","","4250"
"39","Total Vaccination 2nd dose on the day","","28050"
"40","Total Vaccination 1st and 2nd dose on the day","","32300"
