"D
       
  *
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 21-04-2022 
From 15-04-2022 to 21-04.2022 
 
Particulars 
Today’s 
Cumulative 
A 
Total Passengers screened at Air ports 
3412* 
825860","","","","","",""
"","","","","","",""
"","T
he first case of Corona Virus infection, which has caused a pandemic resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective  intervention  in  the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","49","",""
"","","2","Total Discharges","3904996","",""
"","","3","Today's Tests Conducted","9714","",""
"","","4","Total Tests Conducted","65788539","",""
"","","5","Today’s New Cases Reported (20.04.2022, 00:00 to 23:59)","100","",""
"","","6","Total Active Cases","1550","",""
"","","7","Today's Deaths Reported","0","",""
"","","8","Total Covid Deaths","40057","",""
"","","9","Total Positive Cases","3946645","",""
"","","10","Positivity Rate for the day (20.04.2022, 00:00 to 23:59)","1.02%","",""
"","","11","*Weekly Total Positivity Rate","0.79%","",""
"","","12","Case Fatality Rate (CFR) for the day (20.04.2022, 00:00 to 23:59)","0.00","",""
"","","13","*Weekly Case Fatality Rate","0.00","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"*Date: 20-04-2022  
 
Date: 21-04-2022 
Page 1 of 6","","","","","",""
