"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Disc
harged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","616628","2","37804","0","410","10","37374","20"
"2","ALWAR","1225789","2","59705","0","307","0","59388","10"
"3","BANSWARA","225433","0","10005","0","104","0","9901","0"
"4","BARAN","156313","0","11997","0","61","0","11935","1"
"5","BARMER","328139","0","15569","0","185","0","15379","5"
"6","BHARATPUR","381816","0","19601","0","260","0","19341","0"
"7","BHILWARA","386973","0","29782","0","156","0","29626","0"
"8","BIKANER","591372","1","40348","0","545","0","39802","1"
"9","BUNDI","172536","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","355051","0","19809","0","139","0","19670","0"
"11","CHURU","314242","0","16720","0","107","0","16613","0"
"12","DAUSA","206493","0","13351","0","62","0","13289","0"
"13","DHOLPUR","222800","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","245851","0","18407","0","131","0","18276","0"
"15","GANGANAGAR","329311","0","19355","0","150","0","19205","0"
"16","HANUMANGARH","368972","0","16053","0","111","0","15942","0"
"17","JAIPUR","2518058","11","187915","0","1971","0","185868","76"
"18","JAISALMER","203667","0","13641","0","66","0","13573","2"
"19","JALORE","371677","0","10067","0","72","0","9995","0"
"20","JHALAWAR","276665","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","367110","0","14811","0","158","0","14653","0"
"22","JODHPUR","1151504","1","112416","0","1103","0","111311","2"
"23","KARAULI","168085","0","7156","0","70","0","7086","0"
