"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","227074","221194","5878","2"
"12","Nashik","472907","463983","8911","13"
"13","Ahmednagar","377742","370483","7242","17"
"14","Jalgaon","149533","146768","2761","4"
"15","Nandurbar","46615","45653","962","0"
"16","Dhule","50757","50087","670","0"
"17","Aurangabad","176548","172261","4284","3"
"18","Jalna","66330","65106","1224","0"
"19","Beed","109212","106322","2884","6"
"20","Latur","104917","102428","2489","0"
"21","Parbhani","58572","57293","1279","0"
"22","Hingoli","22176","21661","514","1"
"23","Nanded","102673","99966","2704","3"
"24","Osmanabad","75164","73022","2139","3"
"25","Amravati","105963","104338","1624","1"
"26","Akola","66183","64713","1470","0"
"27","Washim","45640","44992","641","7"
"28","Buldhana","92021","91185","836","0"
"29","Yavatmal","81982","80161","1820","1"
"30","Nagpur","576458","567222","9215","21"
"31","Wardha","65677","64267","1408","2"
"32","Bhandara","67945","66801","1142","2"
"33","Gondia","45421","44834","587","0"
"34","Chandrapur","98843","97239","1592","12"
