"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative
Positive","Today's
Death","Cumulative
Death","Today's
Recovered/ 
Discharged","Cumulative
Recovered/ 
Discharged","Active 
Case"
"1","AJMER","801016","18","50261","0","449","18","49721","91"
"2","ALWAR","1636475","30","85196","0","321","23","84734","141"
"3","BANSWARA","324098","4","14818","0","106","0","14684","28"
"4","BARAN","244422","3","15327","0","64","0","15256","7"
"5","BARMER","407810","3","21512","0","205","0","21286","21"
"6","BHARATPUR","476524","0","31458","0","274","0","31183","1"
"7","BHILWARA","511604","10","38449","0","162","13","38209","78"
"8","BIKANER","770284","23","50762","0","592","0","50074","96"
"9","BUNDI","237256","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","455988","0","29520","0","140","6","29341","39"
"11","CHURU","439019","2","20997","0","115","16","20862","20"
"12","DAUSA","300893","24","16009","0","82","12","15847","80"
"13","DHOLPUR","291131","0","13969","0","49","0","13918","2"
"14","DUNGARPUR","329365","8","25568","0","134","1","25397","37"
"15","GANGANAGAR","423648","0","28196","0","158","0","28032","6"
"16","HANUMANGARH","489928","0","22549","0","115","0","22431","3"
"17","JAIPUR","3505239","72","278767","0","2114","18","276117","536"
"18","JAISALMER","243729","6","17116","0","68","5","16981","67"
"19","JALORE","451097","8","10663","0","78","0","10533","52"
"20","JHALAWAR","421332","3","17809","0","208","2","17584","17"
"21","JHUNJHUNU","495061","0","19161","0","181","0","18980","0"
"22","JODHPUR","1443848","42","142418","0","1164","0","140999","255"
"23","KARAULI","245064","0","8971","0","85","1","8885","1"
"24","KOTA","1142426","2","70171","0","477","4","69673","21"
"25","NAGAUR","655313","4","23854","0","201","4","23618","35"
"26","PALI","462857","0","35856","0","299","0","35557","0"
"27","PRATAPGARH","278871","0","11920","0","65","5","11840","15"
"28","RAJSAMAND","303423","15","23194","0","178","20","22943","73"
