"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","793013","10","49898","0","447","11","49388","63"
"2","ALWAR","1623382","10","84834","0","321","0","84457","56"
"3","BANSWARA","321358","0","14773","0","106","0","14665","2"
"4","BARAN","240676","0","15311","0","64","0","15244","3"
"5","BARMER","405051","0","21457","0","205","0","21250","2"
"6","BHARATPUR","476324","0","31451","0","272","0","31179","0"
"7","BHILWARA","509166","7","38229","0","162","1","38040","27"
"8","BIKANER","753688","17","50161","1","588","12","49475","98"
"9","BUNDI","236489","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","453822","3","29419","0","140","1","29267","12"
"11","CHURU","436629","2","20916","0","115","3","20783","18"
"12","DAUSA","295860","2","15874","0","81","2","15778","15"
"13","DHOLPUR","288574","0","13966","0","49","0","13917","0"
"14","DUNGARPUR","327983","0","25499","0","134","0","25364","1"
"15","GANGANAGAR","423245","0","28170","0","158","0","28001","11"
"16","HANUMANGARH","489177","0","22525","0","114","0","22408","3"
"17","JAIPUR","3462059","36","276961","0","2113","29","274522","326"
"18","JAISALMER","242740","0","17036","0","68","0","16968","0"
"19","JALORE","446896","0","10559","0","78","0","10474","7"
"20","JHALAWAR","409731","1","17760","0","207","2","17552","1"
"21","JHUNJHUNU","493576","1","19161","0","181","0","18979","1"
"22","JODHPUR","1430088","17","141294","0","1164","17","140045","85"
"23","KARAULI","242176","0","8968","0","84","0","8884","0"
