"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23985","","5338","","29323",""
"2","Total Active Cases","20 
(0.08%)","","01 
(0.02%)","","21 
(0.07%)",""
"3","Total Cured/Discharged","23794 
(99.2%)","","5277 
(98.85%)","","29071 
(99.14%)",""
"4","Total Died","171 
(0.71%)","","60 
(1.1%)","","231 
(0.78%)",""
"5","Total Positive cases admitted in COVID 
Hospital","04","","00","","04",""
"6","Total Positive cases in Home Isolation","14","","01","","15",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","02","","00","","02",""
"9","No. of Samples Tested (Today)","109","","11","","120",""
"10","No. of Samples Positive (Today)","02","","00","","02",""
"11","No. of Samples Negative (Today)","107","","11","","118",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","51 
00 
00 
00 
51"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(22/09/2022)","","Test Done Today 
(23/09/2022)","","Cumulative"
"","","a)RTPCR","38895","","69","","38964"
"","","b)TRUENAT","15207","","11","","15218"
"","","c)RAT","363299","","40","","363339"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","718626","","120","","718746"
