"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22866","","5273","","28139",""
"2","Total Active Cases","96 
(0.42%)","","02 
(0.04%)","","98 
(0.35%)",""
"3","Total Cured/ Discharged","22602 
(98.8%)","","5211                                  
(98.8%)","","(98.8%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","05","","0","","05",""
"6","Total Positive cases in Home Isolation","32","","02","","34",""
"7","COVID Care Centre","58","","00","","58",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","461","","177","","638",""
"10","No. of Samples Positive (Today)","09","","00","","09",""
"11","No. of Samples Negative (Today)","449","","177","","626",""
"12","Repeat Positive/ Resampling (Today)","03","","00","","03",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","460 
        00 
        00 
        04 
       464"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(07/03/2022)","","Test Done Today 
(08/03/2022)","","Cumulative"
"","","a)  RTPCR","307749","","583","","308332"
"","","b)  TRUENAT","12461","","25","","12486"
"","","c)  RAT","347007","","30","","347037"
"","","d)  CBNAAT","832","","00","","832"
"","","TOTAL","668049","","638","","668687"
