"S. No","Subject","Number"
"1","Total Number of people vaccinated on 17th Feb","3,81,288"
"2","First Dose on 17th Feb","28,506"
"3","Second Dose on 17th Feb","3,27,938"
"4","Precaution Dose on 17th Feb","24,844"
"5","Cumulative Vaccination till 17th Feb","12,67,59,902"
"6","Cumulative Vaccination First Dose","6,94,99,000"
"7","Cumulative Vaccination Second Dose","5,57,89,276"
"8","Cumulative Precaution Dose","14,71,626"
"9","Number of CVC (Common Vaccination Centres)","4,388"
"10","Cumulative AEFI cases reported","6,910"
"11","Vaccine wastage","-7%"
