"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dis
charged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","631054","1","37830","0","410","0","37394","26"
"2","ALWAR","1253331","4","59719","0","307","3","59401","11"
"3","BANSWARA","232530","0","10005","0","104","0","9901","0"
"4","BARAN","162925","0","11997","0","61","0","11936","0"
"5","BARMER","332709","0","15573","0","185","0","15384","4"
"6","BHARATPUR","384302","0","19601","0","260","0","19341","0"
"7","BHILWARA","394629","0","29783","0","156","0","29626","1"
"8","BIKANER","598609","4","40371","0","545","1","39803","23"
"9","BUNDI","176747","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","362351","0","19809","0","139","0","19670","0"
"11","CHURU","319537","0","16721","0","107","0","16613","1"
"12","DAUSA","211679","1","13354","0","62","0","13289","3"
"13","DHOLPUR","225863","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","250927","0","18407","0","131","0","18276","0"
"15","GANGANAGAR","335365","1","19356","0","150","0","19205","1"
"16","HANUMANGARH","379606","0","16054","0","111","0","15942","1"
"17","JAIPUR","2554482","6","188024","0","1971","11","185944","109"
"18","JAISALMER","207166","0","13644","0","66","0","13575","3"
"19","JALORE","376509","0","10067","0","72","0","9995","0"
"20","JHALAWAR","285383","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","375345","0","14811","0","158","0","14653","0"
"22","JODHPUR","1162431","0","112422","0","1103","1","111313","6"
"23","KARAULI","171521","0","7156","0","70","0","7086","0"
