"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23229","","5284","","28513",""
"2","Total Active Cases","150 
(0.64%)","","00 
(0%)","","150 
(0.53%)",""
"3","Total Cured/Discharged","22911 
(98.6%)","","5224 
(98.9%)","","28135 
(98.67%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","14","","00","","14",""
"6","Total Positive cases in Home Isolation","130","","00","","130",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","06","","00","","06",""
"9","No. of Samples Tested (Today)","563","","26","","589",""
"10","No. of Samples Positive (Today)","49","","00","","49",""
"11","No. of Samples Negative (Today)","510","","26","","536",""
"12","Repeat Positive/ Resampling (Today)","04","","00","","04",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","55 
18 
08 
00 
81"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(02/07/2022)","","Test Done Today 
(03/07/2022)","","Cumulative"
"","","a)RTPCR","327766","","538","","328304"
"","","b)TRUENAT","14394","","10","","14404"
"","","c)RAT","350806","","41","","350847"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","694071","","589","","694660"
