"S.No","District","Cumulative 
Sample","Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dischar
ged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","750831","45","49241","2","439","152","48198","604"
"2","ALWAR","1483629","55","83987","0","319","120","82904","764"
"3","BANSWARA","291197","30","14151","0","106","0","13097","948"
"4","BARAN","212212","8","15073","0","63","32","14781","229"
"5","BARMER","390471","4","21356","1","200","15","20887","269"
"6","BHARATPUR","457057","37","31228","0","270","90","30672","286"
"7","BHILWARA","482015","29","37913","0","161","105","37278","474"
"8","BIKANER","693052","45","49431","0","579","79","48477","375"
"9","BUNDI","217110","6","9683","0","55","8","9558","70"
"10","CHITTORGARH","437186","15","29201","0","140","0","29003","58"
"11","CHURU","400798","14","20504","1","114","50","20059","331"
"12","DAUSA","266270","8","15696","0","76","7","15493","127"
"13","DHOLPUR","265806","17","13660","0","49","21","13482","129"
"14","DUNGARPUR","320703","10","25358","0","134","48","25029","195"
"15","GANGANAGAR","401244","106","27747","0","156","92","26667","924"
"16","HANUMANGARH","466831","37","22248","0","114","71","22015","119"
"17","JAIPUR","3127159","369","269721","1","2101","403","262055","5565"
"18","JAISALMER","236628","5","16878","0","68","76","16450","360"
"19","JALORE","430054","0","10501","0","78","2","10411","12"
"20","JHALAWAR","351787","27","17496","0","203","50","17110","183"
"21","JHUNJHUNU","463849","48","18749","0","179","70","18100","470"
"22","JODHPUR","1341041","88","139857","1","1160","346","138018","679"
"23","KARAULI","222649","0","8718","0","83","0","8499","136"
