"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","801651","2","50301","0","449","3","49754","98"
"2","ALWAR","1637477","27","85250","0","321","15","84783","146"
"3","BANSWARA","324268","1","14839","0","106","0","14691","42"
"4","BARAN","244749","0","15329","0","64","0","15258","7"
"5","BARMER","408028","5","21517","0","205","0","21299","13"
"6","BHARATPUR","476546","1","31459","0","274","0","31184","1"
"7","BHILWARA","511799","12","38472","0","162","0","38228","82"
"8","BIKANER","771489","24","50805","0","593","25","50127","85"
"9","BUNDI","237303","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","456162","0","29520","0","140","4","29356","24"
"11","CHURU","439165","9","21014","0","115","3","20865","34"
"12","DAUSA","301323","19","16037","0","82","8","15868","87"
"13","DHOLPUR","291416","0","13975","0","49","0","13919","7"
"14","DUNGARPUR","329683","1","25578","0","134","9","25415","29"
"15","GANGANAGAR","423684","0","28198","2","160","3","28035","3"
"16","HANUMANGARH","489962","0","22551","0","115","0","22431","5"
"17","JAIPUR","3508654","106","279039","0","2116","60","276275","648"
"18","JAISALMER","243895","15","17144","0","68","0","17025","51"
"19","JALORE","451442","6","10676","0","78","17","10553","45"
"20","JHALAWAR","422312","4","17826","0","208","10","17594","24"
"21","JHUNJHUNU","495112","0","19161","0","181","0","18980","0"
"22","JODHPUR","1444855","16","142487","0","1164","20","141079","244"
"23","KARAULI","245202","0","8971","0","85","0","8885","1"
