"1","Total Samples taken","16082039"
"2","Sample collected on the day","23485"
"3","Test conducted on the day","22976"
"4","Total No. of patients tested Positive","603190"
"5","No. of patients discharged","586284"
"6","Number of active Cases","313"
"7","Total Deaths reported","16593"
"8","No. of Patients on oxygen support","34"
"9","Patients at critical care Level-3 facilities","12"
"10","Patients who are critical and on ventilator support","3"
"11","Healthcare Workers vaccinated with 1st dose on the day","13"
"12","Total Healthcare Workers vaccinated with 1st dose","216681"
"13","Frontline Workers vaccinated with 1st dose on the day","80"
"14","Total Frontline Workers vaccinated with 1st dose","1153121"
"15","Healthcare Workers vaccinated with 2nd dose on the day","46"
"16","Total Healthcare Workers vaccinated with 2nd dose","138371"
"17","Frontline Workers vaccinated with 2nd dose on the day","242"
"18","Total Frontline Workers vaccinated with 2nd dose","336924"
"19","COVID-19 Vaccinated with 1st dose on the day
(Healthcare + Frontline Workers)","93"
"20","COVID-19 Vaccinated with 2nd dose on the day
(Healthcare + Frontline Workers)","288"
"21","Total COVID-19 Vaccinated with 1st dose
(Healthcare + Frontline Workers)","1369802"
"22","Total COVID-19 Vaccinated with 2nd dose
(Healthcare + Frontline Workers)","475295"
"23","Above 45 Vaccinated with 1st dose on the day","6389"
"24","Total Above 45 Vaccinated with 1st dose","6290325"
"25","Above 45 Vaccinated with 2nd dose on the day","19368"
"26","Total Above 45 Vaccinated with 2nd dose","3315483"
"27","18-44 years age group Vaccinated with 1st dose on the day","18072"
"28","Total 18-44 years age group Vaccinated with 1st dose","8707444"
"29","18-44 years age group Vaccinated with 2nd dose on the day","46103"
"30","Total 18-44 years age group Vaccinated with 2nd dose","3686614"
"31","Total Vaccination 1st dose on the day","24554"
"32","Total Vaccination 2nd dose on the day","65759"
"33","Total Vaccination 1st and 2nd dose on the day","90313"
