"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23050","","5284","","28334",""
"2","Total Active Cases","31 
(0.13%)","","01 
(0.02%)","","32 
(0.11%)",""
"3","Total Cured/Discharged","22851 
(99.1%)","","5223 
(98.8%)","","28074 
(99.1%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","07","","00","","07",""
"6","Total Positive cases in Home Isolation","23","","01","","24",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","120","","08","","128",""
"10","No. of Samples Positive (Today)","06","","00","","06",""
"11","No. of Samples Negative (Today)","114","","08","","122",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","71 
00 
09 
08 
88"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(21/06/2022)","","Test Done Today 
(22/06/2022)","","Cumulative"
"","","a)RTPCR","325493","","74","","325567"
"","","b)TRUENAT","14263","","16","","14279"
"","","c)RAT","350121","","38","","350159"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","690982","","128","","691110"
