"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18178","","3661","","21839",""
"2","Total Active Cases","164 
(0.90%)","","14 
(0.38%)","","178 
(0.82%)",""
"3","Total Cured/ Discharged","17856 
(98.2%)","","3589                                  
(98%)","","(98.2%)",""
"4","Total Died","158 
(0.87%)","","58 
(1.6%)","","216 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","16","","00","","16",""
"6","Total Positive cases in Home Isolation","116","","14","","130",""
"7","COVID Care Centre","21","","0","","21",""
"8","Facility Isolation","11","","0","","11",""
"9","No. of Samples Tested (Today)","426","","136","","562",""
"10","No. of Samples Positive (Today)","17","","00","","17",""
"11","No. of Samples Negative (Today)","409","","136","","545",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","213 
           00 
       00 
            06 
          219"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(12/12/2021)","","Test Done Today 
(13/12/2021)","","Cumulative"
"","","a)  RTPCR","240729","","475","","241204"
"","","b)  TRUENAT","11136","","06","","11142"
"","","c)  RAT","335357","","81","","335438"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","587394","","562","","587956"
