"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","253","6","0","0","49"
"2","ALWAR","628","3","0","5","21"
"3","BANSWARA","84","0","0","0","0"
"4","BARAN","142","3","0","1","6"
"5","BARMER","37","0","0","0","0"
"6","BHARATPUR","52","0","0","0","3"
"7","BHILWARA","52","0","0","0","1"
"8","BIKANER","297","1","0","0","9"
"9","BUNDI","59","0","0","0","3"
"10","CHITTORGARH","134","2","0","0","12"
"11","CHURU","4","0","0","0","0"
"12","DAUSA","361","0","0","0","1"
"13","DHOLPUR","92","0","0","0","0"
"14","DUNGARPUR","74","2","0","0","13"
"15","GANGANAGAR","37","0","0","0","2"
"16","HANUMANGARH","14","0","0","0","0"
"17","JAIPUR","808","10","0","8","65"
"18","JAISALMER","6","0","0","0","0"
"19","JALORE","73","0","0","2","2"
"20","JHALAWAR","12","1","0","0","2"
"21","JHUNJHUNU","27","0","0","0","0"
"22","JODHPUR","134","0","0","7","21"
"23","KARAULI","126","1","0","0","1"
"24","KOTA","719","9","0","10","48"
"25","NAGAUR","228","0","0","0","0"
"26","PALI","282","2","0","1","10"
