"1","2","3","4","5","6 = 3-4-5","7"
"S. No","District","Total Cases","Total Discharged","Total Deaths","Total Active 
Cases","Last Reported 
Case"
"1","Alipurduar","15,538+6","15,378+6","101","59","18-Oct-21"
"2","Coochbehar","29,139+20","28,892+14","97","150+6","18-Oct-21"
"3","Darjeeling","56,805+30","55,948+30","537","320","18-Oct-21"
"4","Kalimpong","7,003+1","6,896+5","54","53-4","18-Oct-21"
"5","Jalpaiguri","41,788+15","41,042+17","566","180-2","18-Oct-21"
"6","Uttar Dinajpur","19,767+4","19,484+4","236","47","18-Oct-21"
"7","Dakshin Dinajpur","17,705+11","17,391+14","169","145-3","18-Oct-21"
"8","Malda","33,307+15","33,025+8","186","96+7","18-Oct-21"
"9","Murshidabad","33,914+7","33,539+4","327","48+3","18-Oct-21"
"10","Nadia","72,791+47","71,489+43","844+2","458+2","18-Oct-21"
"11","Birbhum","40,957+7","40,571+10","286","100-3","18-Oct-21"
"12","Purulia","19,386+1","19,252+2","113","21-1","18-Oct-21"
"13","Bankura","36,057+8","35,622+16","273","162-8","18-Oct-21"
"14","Jhargram","12,086+3","11,992+7","27","67-4","18-Oct-21"
"15","Paschim Medinipur","53,259+29","52,480+25","506","273+4","18-Oct-21"
"16","Purba Medinipur","62,926+14","62,326+21","396","204-7","18-Oct-21"
"17","Purba Bardhaman","41,730+16","41,283+25","195","252-9","18-Oct-21"
"18","Paschim Bardhaman","57,460+12","56,953+15","354","153-3","18-Oct-21"
"19","Howrah","97,877+56","95,784+54","1,522+2","571","18-Oct-21"
"20","Hooghly","85,398+69","83,812+56","983","603+13","18-Oct-21"
"21","North 24 Parganas","3,27,510+106","3,21,476+120","4,786+2","1,248-16","18-Oct-21"
"22","South 24 Parganas","1,00,038+66","98,184+48","1,326+1","528+17","18-Oct-21"
"23","Kolkata","3,19,439+183","3,12,638+161","5,111+2","1,690+20","18-Oct-21"
"24","Other State","66","63","3","0","6-Jun-20"
"TOTAL","","15,81,946+726","15,55,520+705","18,998+9","7,428+12",""
