"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","9,889"
"2","Number of persons tested positive today in Tamil Nadu","1,057"
"3","Total Number of persons tested positive till date","35,52,698"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","29,542/ 
6,83,50,568@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","29,066/ 
6,71,43,970"
"6","No. of Male / Female / Transgender tested positive today","637/420/0"
"7","No. of Male / Female / Transgender tested positive till date","20,71,584/14,81,076/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","346 (77 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,429/ 
35,04,776"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,033"
