"Total No. of Sample Taken Today","8129"
"Total No. of Positive Cases Detected Today","202"
"Total Active COVID-19 Patients","812"
"Total No. of Active Cases under Home Isolation (16-04-2022)","802"
"Total No. of Samples found Positive till date","986805"
"Total Positive COVID-19 Patients Recovered / Discharged till date","975352"
"No. of Deaths","10618"
"Total No. of People Vaccinated Today","26990 
(1st Dose: 5743 
2nd Dose: 14707 
Precaution Dose: 6540)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23227821 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 87% for 18yrs above population)","18650488 (88%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","324204"
"Cumulative Coverage of Total COVID-19 Vaccination","42202513"
"COVID-19 Today (16-04-2022) Positivity Rate","3.18%"
"Recovery Rate","98.84%"
"Fatality Rate","1.08%"
"Tests Per Million Population","677123"
