"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","227069","221189","5877","3"
"12","Nashik","472883","463961","8910","12"
"13","Ahmednagar","377721","370460","7242","19"
"14","Jalgaon","149528","146766","2761","1"
"15","Nandurbar","46615","45653","962","0"
"16","Dhule","50757","50087","670","0"
"17","Aurangabad","176543","172255","4284","4"
"18","Jalna","66329","65104","1224","1"
"19","Beed","109200","106317","2883","0"
"20","Latur","104917","102428","2489","0"
"21","Parbhani","58570","57284","1279","7"
"22","Hingoli","22175","21661","514","0"
"23","Nanded","102670","99964","2704","2"
"24","Osmanabad","75160","73020","2139","1"
"25","Amravati","105953","104323","1624","6"
"26","Akola","66182","64711","1470","1"
"27","Washim","45632","44989","641","2"
"28","Buldhana","92020","91184","836","0"
"29","Yavatmal","81981","80161","1820","0"
"30","Nagpur","576428","567203","9215","10"
"31","Wardha","65675","64267","1408","0"
"32","Bhandara","67943","66800","1142","1"
"33","Gondia","45421","44834","587","0"
"34","Chandrapur","98830","97236","1592","2"
