"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","1100","46","0","0","218"
"2","ALWAR","1471","108","0","0","836"
"3","BANSWARA","479","1","0","0","23"
"4","BARAN","276","2","0","0","9"
"5","BARMER","24","0","0","0","8"
"6","BHARATPUR","920","101","0","25","314"
"7","BHILWARA","636","9","0","0","39"
"8","BIKANER","846","13","0","5","46"
"9","BUNDI","192","0","0","0","55"
"10","CHITTORGARH","653","45","0","0","247"
"11","CHURU","652","0","0","0","3"
"12","DAUSA","635","20","0","25","149"
"13","DHOLPUR","123","4","0","16","19"
"14","DUNGARPUR","261","34","0","0","101"
"15","GANGANAGAR","167","1","0","0","8"
"16","HANUMANGARH","156","3","0","0","10"
"17","JAIPUR","2025","273","0","35","1615"
"18","JAISALMER","125","10","0","0","42"
"19","JALORE","80","0","0","0","24"
"20","JHALAWAR","736","3","0","4","32"
"21","JHUNJHUNU","703","0","0","0","1"
"22","JODHPUR","237","19","0","12","147"
"23","KARAULI","366","1","0","0","1"
"24","KOTA","751","27","0","13","82"
"25","NAGAUR","536","34","0","10","105"
"26","PALI","1080","26","0","0","63"
