"Sr. No.","District/Municipal 
Corporation","COVID-19 
cases","Recovered 
patients","Deaths","Deaths due 
to other 
causes","Active cases"
"15","Nandurbar","40007","39055","948","3","1"
"16","Dhule","46176","45511","654","11","0"
"17","Aurangabad","155468","150733","4252","14","469"
"18","Jalna","60629","59404","1210","1","14"
"19","Beed","103806","100947","2810","7","42"
"20","Latur","92163","89668","2437","6","52"
"21","Parbhani","52387","51092","1233","19","43"
"22","Hingoli","18477","17959","506","1","11"
"23","Nanded","90428","87745","2658","7","18"
"24","Osmanabad","67876","65659","1969","116","132"
"25","Amravati","96239","94618","1595","2","24"
"26","Akola","58776","57325","1425","4","22"
"27","Washim","41664","41022","637","3","2"
"28","Buldhana","85530","84718","797","6","9"
"29","Yavatmal","75972","74164","1798","4","6"
"30","Nagpur","493633","484386","9128","71","48"
"31","Wardha","57347","55958","1217","165","7"
"32","Bhandara","60081","58946","1123","10","2"
"33","Gondia","40519","39941","569","7","2"
"34","Chandrapur","88973","87387","1562","4","20"
"35","Gadchiroli","30442","29737","669","33","3"
"","Other states/country","144","31","111","2","0"
"","Total","6618347","6460663","140403","3632","13649"
