"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23235","","5284","","28519",""
"2","Total Active Cases","143 
(0.62%)","","00 
(0%)","","143 
(0.5%)",""
"3","Total Cured/Discharged","22924 
(98.7%)","","5224 
(98.9%)","","28148 
(98.7%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","16","","00","","16",""
"6","Total Positive cases in Home Isolation","121","","00","","121",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","06","","00","","06",""
"9","No. of Samples Tested (Today)","111","","117","","228",""
"10","No. of Samples Positive (Today)","06","","00","","06",""
"11","No. of Samples Negative (Today)","105","","117","","222",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","60 
26 
15 
16 
117"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(03/07/2022)","","Test Done Today 
(04/07/2022)","","Cumulative"
"","","a)RTPCR","328304","","59","","328363"
"","","b)TRUENAT","14404","","5","","14409"
"","","c)RAT","350847","","164","","351011"
"","","d)  CBNAAT","1105","","0","","1105"
"","","TOTAL","694660","","228","","694888"
