"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","226"
"2","Number of persons tested positive today in Tamil Nadu","22"
"3","Total Number of persons tested positive till date","34,53,134"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","17,053/ 
6,58,52,835@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","17,045/ 
6,46,76,203"
"6","No. of Male / Female / Transgender tested positive today","14/8/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,300/14,37,796/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","25/ 
34,14,883"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
