"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23526","","5295","","28821",""
"2","Total Active Cases","141 
(0.59%)","","09 
(0.17%)","","150 
(0.52%)",""
"3","Total Cured/Discharged","23217 
(98.68%)","","5226 
(98.69%)","","28443 
(98.68%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","18","","00","","18",""
"6","Total Positive cases in Home Isolation","107","","08","","115",""
"7","COVID Care Centre","00","","01","","01",""
"8","Facility Isolation","16","","00","","16",""
"9","No. of Samples Tested (Today)","205","","109","","314",""
"10","No. of Samples Positive (Today)","17","","04","","21",""
"11","No. of Samples Negative (Today)","188","","105","","293",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","60 
63 
07 
00 
130"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(25/07/2022)","","Test Done Today 
(26/07/2022)","","Cumulative"
"","","a)RTPCR","331174","","190","","331364"
"","","b)TRUENAT","14600","","08","","14608"
"","","c)RAT","353434","","98","","353532"
"","","d)  CBNAAT","1123","","18","","1141"
"","","TOTAL","700331","","314","","700645"
