"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","787486","0","49763","0","447","1","49297","19"
"2","ALWAR","1608614","10","84619","0","320","9","84246","53"
"3","BANSWARA","317819","0","14765","0","106","0","14659","0"
"4","BARAN","235578","7","15288","0","64","0","15187","37"
"5","BARMER","403442","1","21455","0","205","0","21249","1"
"6","BHARATPUR","476264","0","31451","0","272","0","31179","0"
"7","BHILWARA","506918","1","38183","0","162","0","38019","2"
"8","BIKANER","742183","0","49935","0","586","0","49336","13"
"9","BUNDI","233925","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","451921","0","29383","0","140","0","29237","6"
"11","CHURU","434170","3","20836","0","114","0","20717","5"
"12","DAUSA","291570","1","15813","0","80","4","15717","16"
"13","DHOLPUR","284569","0","13944","0","49","5","13882","13"
"14","DUNGARPUR","327721","0","25498","0","134","0","25363","1"
"15","GANGANAGAR","422522","0","28148","0","158","0","27985","5"
"16","HANUMANGARH","488341","0","22518","0","114","0","22404","0"
"17","JAIPUR","3414913","44","275841","0","2112","57","273471","258"
"18","JAISALMER","242409","0","17036","0","68","0","16968","0"
"19","JALORE","445040","0","10546","0","78","0","10468","0"
"20","JHALAWAR","394815","0","17727","0","207","0","17508","12"
"21","JHUNJHUNU","492375","0","19158","0","181","0","18977","0"
"22","JODHPUR","1420961","1","141117","0","1164","2","139945","8"
"23","KARAULI","238114","0","8968","0","84","0","8884","0"
