"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1524657*","20515121*"
"2","Total No. of patients tested Positive","22232","782760"
"3","No. of patients discharged","20755","761029"
"4","Total Deaths reported","167","20473"
"5","Sample collected on the day","","4713"
"6","Test conducted on the day","","4646"
"7","Positive cases on the day","","85"
"8","Number of active Cases","","1258"
"9","No. of Patients on oxygen support","","57"
"10","Patients at critical care Level-3 facilities","","14"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218854"
"14","Frontline Workers vaccinated with 1st dose on the day","","3"
"15","Total Frontline Workers vaccinated with 1st dose","","1117855"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","15"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211795"
"18","Frontline Workers vaccinated with 2nd dose on the day","","55"
"19","Total Frontline Workers vaccinated with 2nd dose","","1018659"
"20","Above 45 Vaccinated with 1st dose on the day","","185"
"21","Total Above 45 Vaccinated with 1st dose","","8343565"
"22","Above 45 Vaccinated with 2nd dose on the day","","999"
"23","Total Above 45 Vaccinated with 2nd dose","","7635046"
"24","18-44 years age group Vaccinated with 1st dose on the day","","525"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12650165"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","2647"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10649585"
"28","15-17 years age group Vaccinated with 1st dose on the day","","231"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1110563"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","613"
"31","Total 15-17 years age group Vaccinated with 2nddose","","848244"
"32","12-14 years age group Vaccinated with 1st dose on the day","","556"
"33","Total 12-14 years age group Vaccinated with 1st dose","","663107"
"34","12-14 years age group Vaccinated with 2nddose on the day","","735"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","457258"
"36","Precautionary dose given on the day","","12114"
"37","Total Precautionary dose given","","1548700"
"38","Total Vaccination 1st dose on the day","","714"
"39","Total Vaccination 2nd dose on the day","","3716"
"40","Total Vaccination 1st and 2nd dose on the day","","4430"
