"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","19621","","3915","","23536",""
"2","Total Active Cases","714 
(3.6%)","","130 
(3.3%)","","844 
(3.6%)",""
"3","Total Cured/ Discharged","18743 
(95.5%)","","3727                                  
(95.2%)","","(95.5%)",""
"4","Total Died","164 
(0.84%)","","58 
(1.5%)","","222 
(0.94%)",""
"5","Total Positive cases admitted in COVID 
Hospital","20","","01","","21",""
"6","Total Positive cases in Home Isolation","563","","129","","692",""
"7","COVID Care Centre","90","","0","","90",""
"8","Facility Isolation","41","","0","","41",""
"9","No. of Samples Tested (Today)","985","","267","","1252",""
"10","No. of Samples Positive (Today)","132","","20","","152",""
"11","No. of Samples Negative (Today)","852","","247","","1099",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","284 
          00 
      00 
           15 
          299"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(16/01/2022)","","Test Done Today 
(17/01/2022)","","Cumulative"
"","","a)  RTPCR","264287","","1148","","265435"
"","","b)  TRUENAT","11394","","14","","11408"
"","","c)  RAT","341295","","90","","341385"
"","","d)  CBNAAT","221","","00","","221"
"","","TOTAL","617197","","1252","","618449"
