"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18791","","3770","","22561",""
"2","Total Active Cases","316 
(1.7%)","","24 
(0.64%)","","340 
(1.5%)",""
"3","Total Cured/ Discharged","18312 
(97.5%)","","3688                                  
(97.8%)","","(97.5%)",""
"4","Total Died","163 
(0.87%)","","58 
(1.5%)","","221 
(0.98%)",""
"5","Total Positive cases admitted in COVID 
Hospital","16","","00","","16",""
"6","Total Positive cases in Home Isolation","222","","24","","246",""
"7","COVID Care Centre","61","","0","","61",""
"8","Facility Isolation","17","","0","","17",""
"9","No. of Samples Tested (Today)","614","","108","","722",""
"10","No. of Samples Positive (Today)","89","","00","","89",""
"11","No. of Samples Negative (Today)","525","","108","","633",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","347 
           00 
       00 
            62 
          409"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(08/01/2022)","","Test Done Today 
(09/01/2022)","","Cumulative"
"","","a)  RTPCR","258398","","569","","258967"
"","","b)  TRUENAT","11309","","06","","11315"
"","","c)  RAT","340284","","147","","340431"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","610163","","722","","610885"
