"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","17607","","3622","","21229",""
"2","Total Active Cases","192 
(1.1%)","","05 
(0.14%)","","197 
(0.93%)",""
"3","Total Cured/ Discharged","17262 
(98.0%)","","3559 
(98.3%)","","20821 
(98.1%)",""
"4","Total Died","153 
(0.87%)","","58 
(1.60%)","","211 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","18","","01","","19",""
"6","Total Positive cases in Home Isolation","159","","04","","163",""
"7","COVID Care Centre","02","","0","","02",""
"8","Facility Isolation","13","","0","","13",""
"9","No. of Samples Tested (Today)","266","","64","","330",""
"10","No. of Samples Positive (Today)","23","","01","","24",""
"11","No. of Samples Negative (Today)","242","","63","","305",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","81 
           00 
       00 
            09 
            90"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(15/11/2021)","","Test Done Today 
(16/11/2021)","","Cumulative"
"","","a)  RTPCR","220347","","275","","220622"
"","","b)  TRUENAT","11017","","03","","11020"
"","","c)  RAT","329683","","52","","329735"
"","","d)  CBNAAT","147","","0","","147"
"","","TOTAL","561194","","330","","561524"
