"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","176","109953","173","107662","2","2281","10"
"2","SAS Nagar","377","96066","343","94876","1","1149","41"
"3","Jalandhar","129","78399","109","76809","0","1578","12"
"4","Patiala","218","62249","214","60786","0","1457","6"
"5","Amritsar","80","59477","79","57787","0","1682","8"
"6","Bathinda","53","50921","49","49827","0","1088","6"
"7","Hoshiarpur","59","40899","67","39799","0","1096","4"
"8","Gurdaspur","20","26959","21","26094","1","865","0"
"9","Pathankot","46","24579","50","24083","0","495","1"
"10","Fazilka","28","23426","40","22879","0","545","2"
"11","Muktsar","13","22567","11","22021","0","539","7"
"12","Kapurthala","39","22074","32","21484","1","583","7"
"13","Ropar","30","17968","29","17512","0","455","1"
"14","Ferozepur","17","17916","18","17378","0","537","1"
"15","Mansa","6","17234","5","16841","1","393","0"
"16","Faridkot","28","16811","28","16469","0","338","4"
"17","Sangrur","0","14309","1","13574","0","735","0"
"18","SBS Nagar","21","13423","25","13013","0","409","1"
"19","FG Sahib","12","11846","9","11489","0","354","3"
"20","Moga","7","10995","7","10738","1","255","2"
"21","Tarn Taran","4","10902","3","10508","0","394","0"
"22","Barnala","7","7504","12","7155","0","349","0"
"23","Malerkotla","1","3969","0","3791","0","176","2"
"","Total","1371","760446","1325","742575","7","17753","118"
