"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","641624","19630493"
"2","Total No. of patients tested Positive","1371","760446"
"3","No. of patients discharged","1325","742575"
"4","Total Deaths reported","7","17753"
"5","Sample collected on the day","","7063"
"6","Test conducted on the day","","7015"
"7","Positive cases on the day","","18"
"8","Number of active Cases","","118"
"9","No. of Patients on oxygen support","","1"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218632"
"14","Frontline Workers vaccinated with 1st dose on the day","","0"
"15","Total Frontline Workers vaccinated with 1st dose","","1117332"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","3"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210180"
"18","Frontline Workers vaccinated with 2nd dose on the day","","13"
"19","Total Frontline Workers vaccinated with 2nd dose","","1012651"
"20","Above 45 Vaccinated with 1st dose on the day","","138"
"21","Total Above 45 Vaccinated with 1st dose","","8315703"
"22","Above 45 Vaccinated with 2nd dose on the day","","1103"
"23","Total Above 45 Vaccinated with 2nd dose","","7295853"
"24","18-44 years age group Vaccinated with 1st dose on the day","","230"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12563207"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","2324"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9929667"
"28","15-17 years age group Vaccinated with 1st dose on the day","","68"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1077416"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","630"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","719027"
"32","12-14 years age group Vaccinated with 1st dose on the day","","338"
"33","Total 12-14 years age group Vaccinated with 1st dose","","579438"
"34","12-14 years age group Vaccinated with 2nd dose on the day","","991"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","285689"
"36","Precautionary dose given on the day","","681"
"37","Total Precautionary dose given","","653716"
"38","Total Vaccination 1st dose on the day","","369"
"39","Total Vaccination 2nd dose on the day","","3443"
"40","Total Vaccination 1st and 2nd dose on the day","","3812"
