,Unnamed: 0,44,Unnamed: 1,शाहजहांपरु,Unnamed: 2,1,Unnamed: 3,0,Unnamed: 4,24389,Unnamed: 5,0.1,Unnamed: 6,447,Unnamed: 7,6,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,अयोध्या,,2.0,,1.0,,18671.0,,0.0,,293.0,,5.0,,,,,
1,,46,,बलुदंशहर,,0.0,,1.0,,26321.0,,0.0,,252.0,,5.0,,,,,
2,,47,,चित्रकूट,,3.0,,1.0,,7756.0,,0.0,,79.0,,5.0,,,,,
3,,48,,सतं कबीर नगर,,2.0,,1.0,,8845.0,,0.0,,101.0,,5.0,,,,,
4,,49,,सोनभद्र,,1.0,,1.0,,18644.0,,0.0,,257.0,,5.0,,,,,
5,,50,,अमठेी,,1.0,,0.0,,11482.0,,0.0,,145.0,,4.0,,,,,
6,,51,,बललया,,0.0,,0.0,,22513.0,,0.0,,245.0,,4.0,,,,,
7,,52,,भदोही,,1.0,,0.0,,8469.0,,0.0,,165.0,,4.0,,,,,
8,,53,,मरुादाबाद,,1.0,,0.0,,46067.0,,0.0,,368.0,,4.0,,,,,
9,,54,,लसद्धाथ ुनगर,,0.0,,0.0,,11522.0,,0.0,,102.0,,4.0,,,,,
10,,55,,औरैय्या,,1.0,,1.0,,10782.0,,0.0,,211.0,,3.0,,,,,
11,,56,,एटा,,0.0,,1.0,,12101.0,,0.0,,100.0,,3.0,,,,,
12,,57,,हमीरपरु,,1.0,,3.0,,6060.0,,0.0,,102.0,,3.0,,,,,
13,,58,,मऊ,,0.0,,0.0,,8933.0,,0.0,,86.0,,3.0,,,,,
14,,59,,शामली,,0.0,,1.0,,16692.0,,0.0,,48.0,,3.0,,,,,
15,,60,,सीतापरु,,0.0,,1.0,,15753.0,,0.0,,187.0,,3.0,,,,,
16,,61,,हापड़ु,,0.0,,0.0,,15188.0,,0.0,,224.0,,2.0,,,,,
17,,62,,कासगजं,,1.0,,1.0,,4883.0,,0.0,,55.0,,2.0,,,,,
18,,63,,पीलीभीत,,0.0,,1.0,,12725.0,,0.0,,205.0,,2.0,,,,,
19,,64,,सभंल,,0.0,,0.0,,11023.0,,0.0,,109.0,,2.0,,,,,
20,,65,,बहराइि,,0.0,,0.0,,13409.0,,0.0,,178.0,,1.0,,,,,
21,,66,,िदंौली,,0.0,,0.0,,17528.0,,0.0,,378.0,,1.0,,,,,
22,,67,,कानपरु देहात,,1.0,,0.0,,7124.0,,0.0,,110.0,,1.0,,,,,
23,,68,,कौशाम्बी,,0.0,,2.0,,4877.0,,0.0,,72.0,,1.0,,,,,
24,,69,,रामपरु,,0.0,,0.0,,14606.0,,0.0,,153.0,,1.0,,,,,
25,,70,,बदाय,,0.0,,0.0,,17911.0,,0.0,,101.0,,0.0,,,,,
26,,71,,बलरामपरु,,0.0,,2.0,,8115.0,,0.0,,139.0,,0.0,,,,,
27,,72,,हाथरस,,0.0,,0.0,,3716.0,,0.0,,43.0,,0.0,,,,,
28,,73,,महोबा,,0.0,,0.0,,4470.0,,0.0,,88.0,,0.0,,,,,
29,,74,,लमर्ाुपरु,,0.0,,0.0,,11950.0,,0.0,,126.0,,0.0,,,,,
30,,75,,श्रावस्ती,,0.0,,0.0,,5233.0,,0.0,,42.0,,0.0,,,,,
31,,Total,,,,,,,117.0,,200.0,,2044746.0,,4.0,,23490.0,,1497.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23490 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
