"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","757726","19746596"
"2","Total No. of patients tested Positive","2127","761200"
"3","No. of patients discharged","1679","742929"
"4","Total Deaths reported","12","17758"
"5","Sample collected on the day","","11100"
"6","Test conducted on the day","","11179"
"7","Positive cases on the day","","92"
"8","Number of active Cases","","513"
"9","No. of Patients on oxygen support","","11"
"10","Patients at critical care Level-3 facilities","","2"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","4"
"13","Total Healthcare Workers vaccinated with 1st dose","","218661"
"14","Frontline Workers vaccinated with 1st dose on the day","","12"
"15","Total Frontline Workers vaccinated with 1st dose","","1117426"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","13"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210499"
"18","Frontline Workers vaccinated with 2nd dose on the day","","75"
"19","Total Frontline Workers vaccinated with 2nd dose","","1013521"
"20","Above 45 Vaccinated with 1st dose on the day","","499"
"21","Total Above 45 Vaccinated with 1st dose","","8322298"
"22","Above 45 Vaccinated with 2nd dose on the day","","7361"
"23","Total Above 45 Vaccinated with 2nd dose","","7382615"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1379"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12580982"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","15145"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10107174"
"28","15-17 years age group Vaccinated with 1st dose on the day","","377"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1082483"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","2068"
"31","Total 15-17 years age group Vaccinated with 2nddose","","742036"
"32","12-14 years age group Vaccinated with 1st dose on the day","","591"
"33","Total 12-14 years age group Vaccinated with 1st dose","","589987"
"34","12-14 years age group Vaccinated with 2nddose on the day","","2103"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","317271"
"36","Precautionary dose given on the day","","4037"
"37","Total Precautionary dose given","","702863"
"38","Total Vaccination 1st dose on the day","","1894"
"39","Total Vaccination 2nd dose on the day","","22594"
"40","Total Vaccination 1st and 2nd dose on the day","","24488"
