"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","21233","","4530","","25763",""
"2","Total Active Cases","854 
(4.02%)","","407 
(8.9%)","","1261 
(4.9%)",""
"3","Total Cured/ Discharged","20214 
(95.2%)","","4064                                  
(89.7%)","","(94.2%)",""
"4","Total Died","165 
(0.78%)","","59 
(1.3%)","","224 
(0.87%)",""
"5","Total Positive cases admitted in COVID 
Hospital","19","","7","","26",""
"6","Total Positive cases in Home Isolation","731","","400","","1131",""
"7","COVID Care Centre","79","","0","","79",""
"8","Facility Isolation","25","","0","","25",""
"9","No. of Samples Tested (Today)","567","","577","","1144",""
"10","No. of Samples Positive (Today)","134","","93","","227",""
"11","No. of Samples Negative (Today)","433","","484","","917",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","205 
          00 
      00 
           42 
          247"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(28/01/2022)","","Test Done Today 
(28/01/2022)","","Cumulative"
"","","a)  RTPCR","274671","","924","","275595"
"","","b)  TRUENAT","11605","","14","","11619"
"","","c)  RAT","343149","","193","","343342"
"","","d)  CBNAAT","311","","13","","324"
"","","TOTAL","629736","","1144","","630880"
