"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1783881","20774345"
"2","Total No. of patients tested Positive","24108","784636"
"3","No. of patients discharged","23702","763976"
"4","Total Deaths reported","200","20505"
"5","Sample collected on the day","","3871"
"6","Test conducted on the day","","3709"
"7","Positive cases on the day","","12"
"8","Number of active Cases","","155"
"9","No. of Patients on oxygen support","","8"
"10","Patients at critical care Level-3 facilities","","3"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218885"
"14","Frontline Workers vaccinated with 1st dose on the day","","1"
"15","Total Frontline Workers vaccinated with 1st dose","","1117939"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","1"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211953"
"18","Frontline Workers vaccinated with 2nd dose on the day","","5"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019228"
"20","Above 45 Vaccinated with 1st dose on the day","","46"
"21","Total Above 45 Vaccinated with 1st dose","","8346491"
"22","Above 45 Vaccinated with 2nd dose on the day","","150"
"23","Total Above 45 Vaccinated with 2nd dose","","7650863"
"24","18-44 years age group Vaccinated with 1st dose on the day","","167"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12660642"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","544"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10693858"
"28","15-17 years age group Vaccinated with 1st dose on the day","","35"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1114259"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","164"
"31","Total 15-17 years age group Vaccinated with 2nddose","","860788"
"32","12-14 years age group Vaccinated with 1st dose on the day","","182"
"33","Total 12-14 years age group Vaccinated with 1st dose","","676273"
"34","12-14 years age group Vaccinated with 2nddose on the day","","876"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","481362"
"36","Precautionary dose given on the day","","3660"
"37","Total Precautionary dose given","","1762214"
"38","Total Vaccination 1st dose on the day","","214"
"39","Total Vaccination 2nd dose on the day","","700"
"40","Total Vaccination 1st and 2nd dose on the day","","914"
