"D
       
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 01-07-2022","","","","","",""
"","","","","","",""
"","T
he first case of Corona Virus infection, which has caused a pandemic  resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","834","",""
"","","2","Total Discharges","3924232","",""
"","","3","Today's Tests Conducted","25587","",""
"","","4","Total Tests Conducted","67013873","",""
"","","5","Today’s New Cases Reported (30.06.2022, 00:00 to 23:59)","1073","",""
"","","6","Total Active Cases","6134","",""
"","","7","Today's Deaths Reported","1","",""
"","","8","Total Covid Deaths","40076","",""
"","","9","Total Positive Cases","3970484","",""
"","","10","Positivity Rate for the day (30.06.2022, 00:00 to 23:59)","4.19%","",""
"","","11","*Weekly Total Positivity Rate","3.67%","",""
"","","12","Case Fatality Rate (CFR) for the day (30.06.2022, 00:00 to 23:59)","0.09%","",""
"","","13","*Weekly Case Fatality Rate","0.05%","",""
"*From 25-06-2022 to 01-07-2022 
Particulars 
Today’s 
Cumulative 
4828* 
1141788 
A 
Total Passengers screened at Air ports 
           Date: 30-6-2022 
          
 
Date: 01-07-2022 
Page 1 of 9","","","","","",""
