"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","24025","","5338","","29363",""
"2","Total Active Cases","23 
(0.09%)","","00 
(0%)","","23 
(0.08%)",""
"3","Total Cured/Discharged","23831 
(99.2%)","","5278 
(98.9%)","","29109 
(99.13%)",""
"4","Total Died","171 
(0.71%)","","60 
(1.1%)","","231 
(0.78%)",""
"5","Total Positive cases admitted in COVID 
Hospital","03","","00","","03",""
"6","Total Positive cases in Home Isolation","18","","00","","18",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","02","","00","","02",""
"9","No. of Samples Tested (Today)","103","","23","","126",""
"10","No. of Samples Positive (Today)","01","","00","","01",""
"11","No. of Samples Negative (Today)","102","","23","","125",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","57 
00 
00 
00 
57"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(08/10/2022)","","Test Done Today 
(09/10/2022)","","Cumulative"
"","","a)RTPCR","339909","","80","","339989"
"","","b)TRUENAT","15371","","29","","15400"
"","","c)RAT","363822","","17","","363839"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","720327","","126","","720453"
