"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","9,408"
"2","Number of persons tested positive today in Tamil Nadu","971"
"","Passengers returned from other countries  by 
International airport tested positive today","USA-1"
"","Total","972"
"3","Total Number of persons tested positive till date","35,53,670"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","25,911/ 
6,83,76,479@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","25,427/ 
6,71,69,397"
"6","No. of Male / Female / Transgender tested positive today","576/396/0"
"7","No. of Male / Female / Transgender tested positive till date","20,72,160/14,81,472/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","346 (77 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,453/ 
35,06,229"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,033"
