"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22958","","5278","","28236",""
"2","Total Active Cases","10 
(0.04%)","","02 
(0.04%)","","12 
(0.04%)",""
"3","Total Cured/Discharged","22780 
(99.2%)","","5216 
(98.8%)","","27996 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","06","","0","","06",""
"6","Total Positive cases in Home Isolation","04","","02","","06",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","85","","17","","102",""
"10","No. of Samples Positive (Today)","02","","00","","02",""
"11","No. of Samples Negative (Today)","83","","17","","100",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","59 
00 
00 
00 
59"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(10/04/2022)","","Test Done Today 
(11/04/2022)","","Cumulative"
"","","a)RTPCR","317857","","52","","317909"
"","","b)TRUENAT","13226","","22","","13248"
"","","c)RAT","347860","","25","","347885"
"","","d)  CBNAAT","1070","","03","","1073"
"","","TOTAL","680013","","102","","680115"
