"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","783242","2","49725","0","446","0","49271","8"
"2","ALWAR","1594245","3","84467","0","320","0","84133","14"
"3","BANSWARA","314617","0","14763","0","106","0","14657","0"
"4","BARAN","231916","0","15247","0","64","0","15183","0"
"5","BARMER","401644","0","21454","0","205","0","21249","0"
"6","BHARATPUR","476192","0","31450","0","272","0","31178","0"
"7","BHILWARA","504967","0","38179","0","162","0","38014","3"
"8","BIKANER","734366","1","49903","0","586","0","49315","2"
"9","BUNDI","231177","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","450168","0","29374","0","140","0","29234","0"
"11","CHURU","432238","0","20819","0","114","0","20705","0"
"12","DAUSA","288319","0","15775","0","80","0","15695","0"
"13","DHOLPUR","278721","1","13768","0","49","0","13705","14"
"14","DUNGARPUR","327277","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","421503","0","28137","0","158","0","27978","1"
"16","HANUMANGARH","487203","0","22516","0","114","0","22402","0"
"17","JAIPUR","3367528","46","274712","0","2111","18","272415","186"
"18","JAISALMER","241905","0","17036","0","68","0","16968","0"
"19","JALORE","442560","0","10545","0","78","0","10467","0"
"20","JHALAWAR","386381","0","17707","0","207","0","17500","0"
"21","JHUNJHUNU","491100","0","19158","0","181","0","18977","0"
"22","JODHPUR","1412437","0","141089","0","1164","1","139923","2"
"23","KARAULI","236284","0","8968","0","84","0","8884","0"
