"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","263"
"2","Number of persons tested positive today in Tamil Nadu","20"
"","Passengers returned from other countries  by 
International airport tested positive today","Singapore-1"
"","Total","21"
"3","Total Number of persons tested positive till date","34,52,931"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","20,029/ 
6,56,94,375@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","20,018/ 
6,45,17,822"
"6","No. of Male / Female / Transgender tested positive today","12/9/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,194/14,37,699/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","33/ 
34,14,643"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
