"Total No. of Sample Taken Today","18867"
"Total No. of Positive Cases Detected Today","13"
"Total Positive Cases under Home Isolation (12-12-2021)","199"
"Total No. of Samples Sent till date","14015563"
"Total No. of Samples found Positive till date","772032 
(M: 471712 
F: 300303 
Transgender: 17)"
"Total Positive COVID-19 Patients Recovered / Discharged till date","761733"
"Total Active COVID-19 Patients","219"
"No. of Deaths","10057"
"Total No. of People Vaccinated today","131947 
(1st Dose: 22988, 
2nd Dose: 108959"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose","18962404 (92%)"
"Cumulative Coverage of COVID-19 Vaccination – 2nd Dose","11420625 (55%)"
"Cumulative Coverage of Total COVID-19 Vaccination","30383029"
"COVID-19 Today (13-12-2021) Positivity Rate","0.05%"
"COVID-19 Cumulative Positivity Rate","5.52%"
"Recovery Rate","98.67%"
"Fatality Rate","1.30%"
"Tests Per Million Population","552882"
