"D
       
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 29-06-2022","","","","","",""
"","","","","","",""
"","T
he first case of Corona Virus infection, which has caused a pandemic resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","1154","",""
"","","2","Total Discharges","3922541","",""
"","","3","Today's Tests Conducted","25753","",""
"","","4","Total Tests Conducted","66962355","",""
"","","5","Today’s New Cases Reported (28.06.2022, 00:00 to 23:59)","1249","",""
"","","6","Total Active Cases","5707","",""
"","","7","Today's Deaths Reported","2","",""
"","","8","Total Covid Deaths","40075","",""
"","","9","Total Positive Cases","3968365*","",""
"","","10","Positivity Rate for the day (28.06.2022, 00:00 to 23:59)","4.84%","",""
"","","11","*Weekly Total Positivity Rate","3.35%","",""
"","","12","Case Fatality Rate (CFR) for the day (28.06.2022, 00:00 to 23:59)","0.16%","",""
"","","13","*Weekly Case Fatality Rate","0.05%","",""
"*From 23-06-2022 to 29-06-2022 
* Cumulative positives includes 696 BBMP  backlog cases as reconciled from SSU. 
Particulars 
Today’s 
Cumulative 
4550* 
1131265 
A 
Total Passengers screened at Air ports 
           Date: 28-6-2022 
          
 
Date: 29-06-2022 
Page 1 of 9","","","","","",""
