"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","439"
"2","Number of persons tested positive today in Tamil Nadu","36"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Delhi-2 
Uttarakhand-1"
"","Total","39"
"3","Total Number of persons tested positive till date","34,54,470"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","14,658/ 
6,63,40,142@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","14,644/ 
6,51,63,133"
"6","No. of Male / Female / Transgender tested positive today","17/22/0"
"7","No. of Male / Female / Transgender tested positive till date","20,16,039/14,38,393/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","336 (69 Govt+ 
267Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","41/ 
34,16,006"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
