"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","24001","","5338","","29339",""
"2","Total Active Cases","11 
(0.05%)","","00 
(0%)","","11 
(0.04%)",""
"3","Total Cured/Discharged","23819 
(99.2%)","","5278 
(98.9%)","","29097 
(99.18%)",""
"4","Total Died","171 
(0.71%)","","60 
(1.1%)","","231 
(0.78%)",""
"5","Total Positive cases admitted in COVID 
Hospital","00","","00","","00",""
"6","Total Positive cases in Home Isolation","10","","00","","10",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","103","","09","","112",""
"10","No. of Samples Positive (Today)","01","","00","","01",""
"11","No. of Samples Negative (Today)","102","","09","","111",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","45 
00 
03 
00 
48"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(30/09/2022)","","Test Done Today 
(01/10/2022)","","Cumulative"
"","","a)RTPCR","39396","","55","","39451"
"","","b)TRUENAT","15304","","05","","15309"
"","","c)RAT","363553","","52","","363605"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","719478","","112","","719590"
