"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1278029","20268492"
"2","Total No. of patients tested Positive","15224","775785"
"3","No. of patients discharged","12147","752422"
"4","Total Deaths reported","85","20391"
"5","Sample collected on the day","","13905"
"6","Test conducted on the day","","13539"
"7","Positive cases on the day","","554"
"8","Number of active Cases","","2972"
"9","No. of Patients on oxygen support","","113"
"10","Patients at critical care Level-3 facilities","","15"
"11","Patients who are critical and on ventilator support","","2"
"12","Healthcare Workers vaccinated with 1st dose on the day","","4"
"13","Total Healthcare Workers vaccinated with 1st dose","","218807"
"14","Frontline Workers vaccinated with 1st dose on the day","","21"
"15","Total Frontline Workers vaccinated with 1st dose","","1117738"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","9"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211548"
"18","Frontline Workers vaccinated with 2nd dose on the day","","41"
"19","Total Frontline Workers vaccinated with 2nd dose","","1017699"
"20","Above 45 Vaccinated with 1st dose on the day","","225"
"21","Total Above 45 Vaccinated with 1st dose","","8338401"
"22","Above 45 Vaccinated with 2nd dose on the day","","2607"
"23","Total Above 45 Vaccinated with 2nd dose","","7596976"
"24","18-44 years age group Vaccinated with 1st dose on the day","","820"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12631147"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","6097"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10562718"
"28","15-17 years age group Vaccinated with 1st dose on the day","","394"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1103863"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","944"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","830417"
"32","12-14 years age group Vaccinated with 1st dose on the day","","963"
"33","Total 12-14 years age group Vaccinated with 1st dose","","645610"
"34","12-14 years age group Vaccinated with 2nd dose on the day","","1513"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","431599"
"36","Precautionary dose given on the day","","21030"
"37","Total Precautionary dose given","","1165414"
"38","Total Vaccination 1st dose on the day","","1070"
"39","Total Vaccination 2nd dose on the day","","8754"
"40","Total Vaccination 1st and 2nd dose on the day","","9824"
