"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18909","","3777","","22686",""
"2","Total Active Cases","373 
(1.9%)","","24 
(0.64%)","","397 
(1.7%)",""
"3","Total Cured/ Discharged","18372 
(97.2%)","","3695                                  
(97.8%)","","(97.3%)",""
"4","Total Died","164 
(0.87%)","","58 
(1.5%)","","222 
(0.98%)",""
"5","Total Positive cases admitted in COVID 
Hospital","17","","00","","17",""
"6","Total Positive cases in Home Isolation","248","","24","","272",""
"7","COVID Care Centre","74","","0","","74",""
"8","Facility Isolation","34","","0","","34",""
"9","No. of Samples Tested (Today)","455","","170","","625",""
"10","No. of Samples Positive (Today)","118","","07","","125",""
"11","No. of Samples Negative (Today)","337","","163","","500",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","00 
          00 
      00 
           39 
           39"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(09/01/2022)","","Test Done Today 
(10/01/2022)","","Cumulative"
"","","a)  RTPCR","258967","","577","","259544"
"","","b)  TRUENAT","11315","","03","","11318"
"","","c)  RAT","340431","","45","","340476"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","610885","","625","","611510"
