"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1017975","*20006853"
"2","Total No. of patients tested Positive","5997","765017"
"3","No. of patients discharged","4771","746021"
"4","Total Deaths reported","40","17786"
"5","Sample collected on the day","","11988"
"6","Test conducted on the day","","12044"
"7","Positive cases on the day","","234"
"8","Number of active Cases","","1210"
"9","No. of Patients on oxygen support","","36"
"10","Patients at critical care Level-3 facilities","","6"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","2"
"13","Total Healthcare Workers vaccinated with 1st dose","","218745"
"14","Frontline Workers vaccinated with 1st dose on the day","","11"
"15","Total Frontline Workers vaccinated with 1st dose","","1117587"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","25"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211080"
"18","Frontline Workers vaccinated with 2nd dose on the day","","146"
"19","Total Frontline Workers vaccinated with 2nd dose","","1015861"
"20","Above 45 Vaccinated with 1st dose on the day","","438"
"21","Total Above 45 Vaccinated with 1st dose","","8330757"
"22","Above 45 Vaccinated with 2nd dose on the day","","5700"
"23","Total Above 45 Vaccinated with 2nd dose","","7528117"
"24","18-44 years age group Vaccinated with 1st dose on the day","","931"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12605648"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","12583"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10402332"
"28","15-17 years age group Vaccinated with 1st dose on the day","","889"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1093502"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","4051"
"31","Total 15-17 years age group Vaccinated with 2nddose","","795610"
"32","12-14 years age group Vaccinated with 1st dose on the day","","2801"
"33","Total 12-14 years age group Vaccinated with 1st dose","","611655"
"34","12-14 years age group Vaccinated with 2nddose on the day","","6789"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","377640"
"36","Precautionary dose given on the day","","3923"
"37","Total Precautionary dose given","","776581"
"38","Total Vaccination 1st dose on the day","","1382"
"39","Total Vaccination 2nd dose on the day","","18454"
"40","Total Vaccination 1st and 2nd dose on the day","","19836"
