"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","17,487"
"2","Number of persons tested positive today in Tamil Nadu","2,311"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Andaman and Nicobar 
Islands-1"
"","Total","2,312"
"3","Total Number of persons tested positive till date","35,13,121"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","33,058/ 
6,76,20,263@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","32,164/ 
6,64,29,390"
"6","No. of Male / Female / Transgender tested positive today","1,275/1,037/0"
"7","No. of Male / Female / Transgender tested positive till date","20,48,355/14,64,728/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","2,682/ 
34,57,605"
"10","Total number of deaths today/ till date","1(0 Private &  
1 Govt) /38,029"
