"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23904","","5337","","29241",""
"2","Total Active Cases","40 
(0.17%)","","03 
(0.06%)","","43 
(0.15%)",""
"3","Total Cured/Discharged","23694 
(99.1%)","","5274 
(98.8%)","","28968 
(99.1%)",""
"4","Total Died","170 
(0.71%)","","60 
(1.1%)","","230 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","08","","0","","08",""
"6","Total Positive cases in Home Isolation","23","","03","","26",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","09","","00","","09",""
"9","No. of Samples Tested (Today)","75","","24","","99",""
"10","No. of Samples Positive (Today)","06","","00","","06",""
"11","No. of Samples Negative (Today)","69","","24","","93",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","46 
00 
01 
00 
47"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(02/09/2022)","","Test Done Today 
(03/09/2022)","","Cumulative"
"","","a)RTPCR","36989","","65","","37054"
"","","b)TRUENAT","14982","","09","","14991"
"","","c)RAT","362528","","25","","362553"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","715724","","99","","715823"
