"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","377020","19365881"
"2","Total No. of patients tested Positive","877","759958"
"3","No. of patients discharged","729","741979"
"4","Total Deaths reported","4","17751"
"5","Sample collected on the day","","12164"
"6","Test conducted on the day","","7967"
"7","Positive cases on the day","","28"
"8","Number of active Cases","","228"
"9","No. of Patients on oxygen support","","2"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","4"
"13","Total Healthcare Workers vaccinated with 1st dose","","218576"
"14","Frontline Workers vaccinated with 1st dose on the day","","13"
"15","Total Frontline Workers vaccinated with 1st dose","","1117121"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","19"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209694"
"18","Frontline Workers vaccinated with 2nd dose on the day","","126"
"19","Total Frontline Workers vaccinated with 2nd dose","","1010735"
"20","Above 45 Vaccinated with 1st dose on the day","","1227"
"21","Total Above 45 Vaccinated with 1st dose","","8285984"
"22","Above 45 Vaccinated with 2nd dose on the day","","14383"
"23","Total Above 45 Vaccinated with 2nd dose","","7068947"
"24","18-44 years age group Vaccinated with 1st dose on the day","","2891"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12479867"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","28212"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9479153"
"28","15-17 years age group Vaccinated with 1st dose on the day","","2123"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1046218"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","4409"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","633162"
"32","12-14 years age group Vaccinated with 1st dose on the day","","6549"
"33","Total 12-14 years age group Vaccinated with 1st dose","","497024"
"34","12-14 years age group Vaccinated with 2nddose on the day","","9507"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","168803"
"36","Precautionary dose given on the day","","3767"
"37","Total Precautionary dose given","","574243"
"38","Total Vaccination 1st dose on the day","","4135"
"39","Total Vaccination 2nd dose on the day","","42740"
"40","Total Vaccination 1st and 2nd dose on the day","","46875"
